State,Account Length,Area Code,Int'l Plan,VMail Plan,VMail Message,Day Mins,Day Calls,Eve Mins,Eve Calls,Night Mins,Night Calls,Intl Mins,Intl Calls,CustServ Calls,Churn?
RI,Long,415,no,yes,Middle(13->23),100->200,100->150,200->300,50->100,200->300,150->200,0->100,0->5,0->5,False.
MD,Short,408,no,no,None,200->300,50->100,100->200,100->150,200->300,100->150,0->100,0->5,0->5,False.
FL,Long,415,yes,no,None,100->200,100->150,100->200,50->100,100->200,100->150,0->100,5->10,0->5,False.
CA,Middle_Length,415,no,yes,Middle(13->23),100->200,100->150,100->200,100->150,100->200,50->100,0->100,0->5,0->5,False.
AL,Long,415,no,no,None,100->200,50->100,200->300,50->100,100->200,100->150,0->100,0->5,0->5,False.
ME,Short,408,yes,no,None,200->300,50->100,100->200,100->150,100->200,50->100,0->100,0->5,0->5,True.
WV,Middle_Length,415,no,no,None,100->200,50->100,200->300,100->150,0->100,50->100,0->100,0->5,0->5,False.
SD,Long,415,no,yes,Middle(13->23),100->200,100->150,100->200,100->150,200->300,100->150,0->100,5->10,0->5,False.
FL,Long,415,no,yes,Middle(13->23),200->300,100->150,200->300,50->100,200->300,100->150,0->100,5->10,0->5,False.
MI,Middle_Length,415,yes,no,None,200->300,50->100,200->300,100->150,200->300,100->150,0->100,5->10,0->5,True.
MI,Middle_Length,415,yes,yes,Middle(13->23),200->300,100->150,100->200,100->150,200->300,50->100,0->100,0->5,0->5,False.
NM,Short,510,no,no,None,200->300,50->100,100->200,50->100,200->300,50->100,0->100,10->15,0->5,False.
AK,Short,415,no,no,None,100->200,50->100,100->200,50->100,200->300,50->100,0->100,5->10,0->5,False.
OH,Long,415,no,yes,Middle(13->23),100->200,50->100,200->300,50->100,200->300,100->150,0->100,5->10,0->5,False.
MO,Middle_Length,415,no,no,None,100->200,100->150,300->400,50->100,200->300,100->150,0->100,0->5,0->5,True.
KS,Long,408,no,yes,Middle(13->23),100->200,50->100,200->300,100->150,200->300,100->150,0->100,5->10,0->5,False.
MS,Long,415,no,yes,Middle(13->23),100->200,100->150,100->200,100->150,100->200,50->100,0->100,5->10,5->10,True.
VT,Long,408,no,yes,Middle(13->23),100->200,100->150,200->300,50->100,200->300,100->150,0->100,0->5,0->5,False.
NE,Short,415,no,no,None,100->200,50->100,200->300,100->150,100->200,50->100,0->100,5->10,0->5,False.
VA,Short,408,no,no,None,100->200,100->150,200->300,50->100,200->300,50->100,0->100,5->10,0->5,False.
DE,Short,415,no,yes,Middle(13->23),200->300,50->100,200->300,50->100,200->300,100->150,0->100,0->5,0->5,False.
AL,Short,408,yes,yes,Middle(13->23),200->300,100->150,200->300,50->100,100->200,50->100,0->100,10->15,0->5,True.
ID,Long,510,no,yes,Middle(13->23),0->100,100->150,100->200,50->100,100->200,50->100,0->100,5->10,0->5,False.
MS,Middle_Length,510,no,no,None,0->100,100->150,300->400,50->100,100->200,100->150,0->100,0->5,0->5,False.
OK,Short,408,no,no,None,200->300,50->100,100->200,100->150,100->200,100->150,0->100,0->5,0->5,False.
NM,Middle_Length,415,no,no,None,100->200,50->100,200->300,100->150,100->200,50->100,0->100,0->5,0->5,False.
WI,Short,408,no,no,None,200->300,50->100,100->200,100->150,100->200,50->100,0->100,0->5,0->5,False.
WV,Middle_Length,415,no,no,None,200->300,100->150,100->200,100->150,100->200,50->100,0->100,0->5,0->5,False.
SC,Middle_Length,510,no,no,None,0->100,50->100,100->200,50->100,200->300,50->100,0->100,0->5,0->5,True.
KY,Long,408,no,yes,Middle(13->23),200->300,50->100,200->300,100->150,100->200,100->150,0->100,5->10,5->10,False.
MO,Short,408,no,no,None,0->100,100->150,100->200,50->100,100->200,50->100,0->100,5->10,0->5,False.
IL,Middle_Length,510,no,no,None,200->300,100->150,100->200,100->150,0->100,100->150,0->100,5->10,0->5,False.
OK,Long,408,no,no,None,0->100,100->150,100->200,50->100,100->200,100->150,0->100,5->10,0->5,False.
MI,Short,510,no,no,None,200->300,50->100,100->200,100->150,100->200,100->150,0->100,0->5,0->5,False.
NJ,Middle_Length,415,no,yes,Middle(13->23),0->100,100->150,100->200,50->100,200->300,50->100,0->100,5->10,0->5,False.
ID,Short,415,no,no,None,100->200,100->150,100->200,100->150,100->200,50->100,0->100,0->5,0->5,False.
DC,Middle_Length,510,yes,no,None,0->100,100->150,300->400,100->150,200->300,50->100,0->100,5->10,0->5,False.
NY,Short,415,no,yes,Middle(13->23),100->200,50->100,200->300,100->150,200->300,50->100,0->100,0->5,0->5,False.
AL,Short,415,no,no,None,100->200,100->150,200->300,50->100,200->300,50->100,0->100,0->5,0->5,False.
OR,Middle_Length,415,no,yes,Middle(13->23),200->300,50->100,200->300,100->150,200->300,50->100,0->100,5->10,0->5,False.
OK,Long,415,no,yes,Middle(13->23),200->300,100->150,0->100,50->100,100->200,100->150,0->100,0->5,0->5,False.
LA,Short,510,no,no,None,300->400,50->100,0->100,100->150,200->300,50->100,0->100,10->15,0->5,False.
NE,Long,408,no,no,None,0->100,100->150,200->300,100->150,200->300,50->100,0->100,0->5,0->5,False.
TX,Long,415,no,yes,Middle(13->23),100->200,50->100,100->200,100->150,100->200,50->100,0->100,5->10,0->5,False.
UT,Long,415,no,yes,Middle(13->23),100->200,50->100,100->200,50->100,100->200,100->150,0->100,0->5,0->5,False.
OR,Long,415,no,no,None,200->300,100->150,100->200,100->150,200->300,100->150,0->100,5->10,0->5,False.
NY,Short,408,no,no,None,100->200,100->150,200->300,100->150,200->300,50->100,0->100,0->5,0->5,False.
AL,Short,408,no,yes,Middle(13->23),100->200,50->100,100->200,100->150,100->200,50->100,0->100,0->5,0->5,False.
RI,Long,415,no,yes,Middle(13->23),200->300,50->100,100->200,50->100,100->200,100->150,0->100,0->5,0->5,False.
MN,Long,415,yes,yes,Middle(13->23),200->300,100->150,200->300,50->100,200->300,50->100,0->100,0->5,5->10,True.
NC,Short,415,no,no,None,200->300,100->150,200->300,100->150,100->200,50->100,0->100,5->10,0->5,False.
MD,Short,510,no,yes,Middle(13->23),100->200,50->100,200->300,100->150,0->100,50->100,0->100,5->10,0->5,False.
RI,Middle_Length,510,no,yes,Middle(13->23),100->200,100->150,200->300,50->100,200->300,100->150,0->100,0->5,0->5,False.
WI,Short,510,yes,no,None,200->300,50->100,200->300,50->100,100->200,100->150,0->100,10->15,0->5,True.
VT,Middle_Length,510,yes,yes,Large(23->51),100->200,50->100,200->300,50->100,100->200,50->100,0->100,5->10,5->10,True.
CT,Short,415,no,yes,Middle(13->23),100->200,50->100,200->300,50->100,200->300,100->150,0->100,0->5,0->5,False.
OK,Long,408,no,yes,Middle(13->23),200->300,50->100,200->300,100->150,100->200,50->100,0->100,5->10,0->5,False.
AK,Middle_Length,415,no,no,None,100->200,50->100,100->200,100->150,100->200,100->150,0->100,0->5,0->5,True.
NY,Long,415,no,no,None,200->300,100->150,200->300,50->100,100->200,100->150,0->100,0->5,0->5,False.
GA,Short,510,no,no,None,200->300,100->150,200->300,50->100,100->200,50->100,0->100,0->5,0->5,True.
UT,Short,510,yes,no,None,0->100,100->150,100->200,100->150,100->200,100->150,0->100,5->10,0->5,False.
NM,Short,415,no,no,None,100->200,50->100,200->300,50->100,100->200,100->150,0->100,5->10,0->5,False.
NE,Short,415,no,yes,Middle(13->23),100->200,50->100,100->200,100->150,100->200,50->100,0->100,0->5,0->5,False.
NJ,Long,408,no,no,None,100->200,50->100,300->400,50->100,200->300,100->150,0->100,0->5,0->5,False.
TX,Short,408,no,yes,Middle(13->23),100->200,100->150,200->300,50->100,200->300,50->100,0->100,0->5,0->5,False.
MT,Short,408,no,no,None,100->200,50->100,200->300,50->100,200->300,100->150,0->100,5->10,0->5,True.
CO,Long,415,no,no,None,100->200,50->100,100->200,100->150,300->400,100->150,0->100,5->10,0->5,False.
VT,Short,415,no,no,None,100->200,100->150,200->300,100->150,200->300,50->100,0->100,0->5,0->5,False.
RI,Short,408,no,yes,Middle(13->23),100->200,100->150,300->400,50->100,100->200,100->150,0->100,5->10,0->5,False.
WY,Middle_Length,408,no,yes,Middle(13->23),200->300,50->100,200->300,100->150,100->200,100->150,0->100,5->10,0->5,False.
ID,Middle_Length,415,no,no,None,100->200,100->150,0->100,100->150,200->300,50->100,0->100,5->10,0->5,False.
CT,Short,415,no,yes,Middle(13->23),200->300,100->150,200->300,50->100,200->300,100->150,0->100,0->5,0->5,False.
ME,Middle_Length,510,no,no,None,200->300,50->100,100->200,100->150,100->200,100->150,0->100,0->5,0->5,False.
AZ,Short,510,no,yes,Middle(13->23),100->200,50->100,200->300,100->150,200->300,50->100,0->100,5->10,0->5,False.
MD,Middle_Length,510,yes,no,None,200->300,50->100,100->200,100->150,100->200,50->100,0->100,5->10,0->5,False.
IN,Middle_Length,510,no,no,None,200->300,50->100,100->200,100->150,100->200,50->100,0->100,5->10,0->5,False.
NC,Long,408,yes,yes,Middle(13->23),200->300,100->150,200->300,50->100,100->200,100->150,0->100,0->5,0->5,True.
DE,Short,510,no,no,None,100->200,100->150,100->200,50->100,100->200,100->150,0->100,0->5,0->5,False.
MN,Long,415,no,yes,Middle(13->23),0->100,100->150,100->200,100->150,200->300,50->100,0->100,0->5,0->5,False.
WI,Short,415,yes,no,None,0->100,50->100,200->300,50->100,100->200,100->150,0->100,0->5,0->5,False.
FL,Short,408,no,yes,Middle(13->23),200->300,50->100,200->300,100->150,100->200,100->150,0->100,0->5,0->5,False.
WV,Short,510,no,no,None,200->300,100->150,200->300,50->100,200->300,50->100,0->100,5->10,0->5,True.
SD,Long,415,no,yes,Middle(13->23),300->400,50->100,200->300,50->100,100->200,100->150,0->100,0->5,0->5,False.
FL,Middle_Length,415,no,no,None,200->300,50->100,200->300,100->150,200->300,50->100,0->100,5->10,0->5,False.
OR,Middle_Length,408,no,no,None,100->200,100->150,100->200,50->100,100->200,100->150,0->100,0->5,0->5,False.
CO,Middle_Length,408,no,yes,Middle(13->23),100->200,50->100,200->300,50->100,100->200,100->150,0->100,0->5,0->5,False.
CT,Short,408,no,yes,Middle(13->23),100->200,100->150,300->400,50->100,100->200,100->150,0->100,0->5,0->5,False.
IN,Middle_Length,415,no,no,None,200->300,150->200,300->400,100->150,200->300,100->150,0->100,0->5,0->5,True.
PA,Long,415,no,yes,Middle(13->23),200->300,50->100,100->200,100->150,100->200,50->100,0->100,0->5,0->5,False.
NM,Middle_Length,415,no,no,None,100->200,100->150,100->200,50->100,100->200,100->150,0->100,5->10,0->5,False.
ME,Long,408,no,no,None,100->200,50->100,100->200,50->100,300->400,50->100,0->100,0->5,0->5,False.
SD,Middle_Length,510,no,no,None,200->300,100->150,200->300,50->100,100->200,50->100,0->100,5->10,0->5,True.
AR,Middle_Length,408,no,no,None,0->100,100->150,100->200,100->150,200->300,100->150,0->100,5->10,0->5,False.
TX,Middle_Length,408,yes,no,None,200->300,50->100,200->300,100->150,200->300,150->200,0->100,0->5,0->5,False.
NH,Long,415,no,no,None,100->200,50->100,0->100,50->100,100->200,100->150,0->100,5->10,0->5,False.
OK,Middle_Length,408,no,no,None,0->100,100->150,200->300,50->100,100->200,50->100,0->100,10->15,5->10,True.
WI,Long,408,no,yes,Middle(13->23),0->100,50->100,200->300,100->150,100->200,100->150,0->100,0->5,0->5,False.
AL,Middle_Length,408,no,no,None,200->300,100->150,200->300,50->100,100->200,100->150,0->100,0->5,0->5,False.
PA,Short,408,no,no,None,100->200,50->100,200->300,100->150,100->200,100->150,0->100,0->5,0->5,False.
OK,Middle_Length,510,no,no,None,100->200,50->100,0->100,100->150,200->300,100->150,0->100,0->5,0->5,False.
ME,Short,510,no,yes,Middle(13->23),200->300,100->150,200->300,100->150,100->200,50->100,0->100,5->10,0->5,False.
WV,Middle_Length,415,no,no,None,200->300,100->150,100->200,50->100,200->300,100->150,0->100,5->10,0->5,False.
HI,Middle_Length,408,no,yes,Middle(13->23),100->200,50->100,100->200,50->100,200->300,100->150,0->100,0->5,0->5,False.
MN,Long,510,no,no,None,100->200,50->100,100->200,50->100,100->200,50->100,0->100,0->5,0->5,False.
NY,Short,408,no,no,None,100->200,50->100,100->200,100->150,200->300,100->150,0->100,5->10,0->5,False.
AZ,Middle_Length,415,no,no,None,100->200,50->100,100->200,100->150,100->200,100->150,0->100,5->10,0->5,False.
OH,Short,510,no,yes,Large(23->51),200->300,50->100,200->300,100->150,200->300,100->150,0->100,5->10,0->5,False.
MI,Middle_Length,510,no,no,None,100->200,50->100,200->300,50->100,100->200,100->150,0->100,0->5,0->5,False.
MA,Short,415,yes,no,None,100->200,50->100,100->200,50->100,100->200,100->150,0->100,5->10,0->5,True.
WV,Long,510,no,no,None,200->300,100->150,100->200,100->150,100->200,50->100,0->100,0->5,0->5,False.
MI,Short,415,no,no,None,0->100,50->100,200->300,100->150,200->300,100->150,0->100,5->10,0->5,False.
NM,Short,415,no,no,None,100->200,100->150,200->300,100->150,100->200,50->100,0->100,5->10,0->5,False.
MO,Middle_Length,415,no,no,None,300->400,50->100,200->300,100->150,200->300,100->150,0->100,5->10,0->5,True.
RI,Long,415,no,no,None,100->200,100->150,200->300,100->150,100->200,50->100,0->100,5->10,0->5,False.
NC,Short,415,no,yes,Middle(13->23),100->200,100->150,100->200,50->100,200->300,50->100,0->100,5->10,0->5,False.
WY,Short,415,no,no,None,100->200,50->100,200->300,50->100,200->300,100->150,0->100,5->10,0->5,False.
WY,Middle_Length,415,no,no,None,100->200,50->100,200->300,50->100,100->200,100->150,0->100,0->5,0->5,False.
PA,Middle_Length,510,no,no,None,200->300,100->150,100->200,100->150,200->300,100->150,0->100,5->10,0->5,False.
KY,Middle_Length,415,no,no,None,100->200,50->100,100->200,50->100,200->300,50->100,0->100,0->5,0->5,False.
OR,Long,510,no,no,None,100->200,100->150,200->300,100->150,100->200,100->150,0->100,5->10,0->5,False.
NV,Middle_Length,415,yes,yes,Middle(13->23),200->300,50->100,200->300,100->150,100->200,100->150,0->100,5->10,0->5,True.
DC,Short,408,no,yes,Middle(13->23),200->300,100->150,200->300,100->150,100->200,100->150,0->100,0->5,0->5,False.
UT,Short,510,no,yes,Large(23->51),100->200,100->150,200->300,50->100,200->300,50->100,0->100,5->10,0->5,False.
WA,Long,408,yes,yes,Middle(13->23),100->200,100->150,200->300,100->150,200->300,100->150,0->100,5->10,0->5,False.
FL,Short,510,no,no,None,100->200,100->150,200->300,100->150,100->200,100->150,0->100,5->10,0->5,False.
VA,Long,510,no,no,None,100->200,100->150,100->200,50->100,100->200,50->100,0->100,5->10,0->5,False.
KS,Middle_Length,415,yes,no,None,200->300,50->100,100->200,50->100,200->300,50->100,0->100,0->5,0->5,True.
KS,Long,415,no,no,None,100->200,50->100,100->200,50->100,200->300,100->150,0->100,0->5,0->5,False.
DC,Long,510,no,no,None,100->200,50->100,100->200,100->150,100->200,100->150,0->100,0->5,0->5,False.
ME,Middle_Length,408,no,yes,Middle(13->23),200->300,50->100,100->200,100->150,100->200,100->150,0->100,0->5,0->5,False.
LA,Long,415,no,no,None,200->300,100->150,100->200,50->100,200->300,50->100,0->100,0->5,0->5,False.
DC,Long,415,no,no,None,100->200,100->150,200->300,100->150,200->300,50->100,0->100,0->5,0->5,False.
TX,Middle_Length,510,no,no,None,100->200,50->100,200->300,100->150,100->200,50->100,0->100,0->5,0->5,False.
NJ,Middle_Length,408,yes,yes,Middle(13->23),200->300,100->150,100->200,50->100,200->300,50->100,0->100,0->5,0->5,True.
DE,Middle_Length,510,no,no,None,200->300,100->150,100->200,100->150,200->300,50->100,0->100,0->5,0->5,False.
VT,Middle_Length,415,no,no,None,100->200,100->150,200->300,100->150,100->200,50->100,0->100,5->10,0->5,False.
GA,Short,415,no,no,None,200->300,100->150,200->300,50->100,200->300,100->150,0->100,0->5,0->5,True.
TX,Long,408,no,no,None,100->200,100->150,100->200,50->100,200->300,50->100,0->100,0->5,0->5,False.
MT,Long,415,no,no,None,100->200,100->150,200->300,50->100,100->200,50->100,0->100,0->5,0->5,False.
ND,Short,408,no,yes,Middle(13->23),0->100,50->100,200->300,50->100,100->200,100->150,0->100,0->5,0->5,False.
NJ,Long,415,no,yes,Middle(13->23),100->200,100->150,0->100,100->150,200->300,50->100,0->100,0->5,0->5,False.
MO,Short,408,no,no,None,100->200,100->150,200->300,50->100,300->400,100->150,0->100,5->10,0->5,False.
CO,Long,510,no,yes,Middle(13->23),100->200,50->100,100->200,50->100,200->300,50->100,0->100,5->10,5->10,False.
KS,Long,408,no,no,None,100->200,100->150,100->200,100->150,100->200,100->150,0->100,15->20,0->5,False.
NC,Short,408,no,yes,Middle(13->23),100->200,100->150,100->200,50->100,200->300,100->150,0->100,0->5,0->5,False.
MT,Short,415,no,yes,Middle(13->23),200->300,50->100,100->200,50->100,200->300,100->150,0->100,0->5,0->5,False.
DE,Middle_Length,415,no,no,None,100->200,50->100,100->200,100->150,200->300,100->150,0->100,0->5,0->5,False.
ND,Middle_Length,415,no,no,None,100->200,50->100,100->200,100->150,200->300,50->100,0->100,0->5,0->5,False.
VA,Short,408,no,no,None,100->200,100->150,100->200,100->150,200->300,100->150,0->100,0->5,0->5,False.
IL,Middle_Length,415,no,no,None,100->200,50->100,200->300,50->100,100->200,50->100,0->100,10->15,0->5,False.
OK,Short,415,no,no,None,200->300,50->100,200->300,50->100,200->300,100->150,0->100,5->10,0->5,False.
CO,Middle_Length,510,no,yes,Middle(13->23),200->300,100->150,200->300,50->100,200->300,50->100,0->100,0->5,0->5,False.
MT,Short,415,no,yes,Middle(13->23),200->300,100->150,100->200,50->100,100->200,100->150,0->100,0->5,0->5,False.
WV,Long,408,no,yes,Middle(13->23),200->300,50->100,200->300,0->50,100->200,100->150,0->100,5->10,0->5,False.
ME,Middle_Length,415,no,no,None,100->200,50->100,100->200,100->150,100->200,100->150,0->100,5->10,0->5,False.
WI,Long,415,no,yes,Middle(13->23),0->100,100->150,100->200,100->150,100->200,50->100,0->100,0->5,0->5,False.
MO,Short,408,no,no,None,200->300,50->100,200->300,0->50,200->300,50->100,0->100,0->5,0->5,True.
NY,Long,415,no,no,None,200->300,50->100,200->300,100->150,100->200,100->150,0->100,0->5,0->5,False.
CT,Middle_Length,408,no,no,None,200->300,100->150,200->300,50->100,100->200,50->100,0->100,5->10,0->5,False.
AR,Short,415,no,yes,Middle(13->23),200->300,100->150,100->200,50->100,100->200,100->150,0->100,0->5,0->5,False.
WY,Middle_Length,415,no,yes,Middle(13->23),200->300,50->100,100->200,100->150,200->300,100->150,0->100,0->5,0->5,False.
CA,Middle_Length,510,no,yes,Middle(13->23),100->200,100->150,100->200,100->150,100->200,50->100,0->100,5->10,0->5,False.
CA,Short,510,no,no,None,100->200,50->100,100->200,50->100,200->300,50->100,0->100,10->15,5->10,True.
MN,Short,415,no,no,None,100->200,100->150,100->200,100->150,200->300,50->100,0->100,0->5,0->5,False.
AK,Long,415,no,no,None,200->300,100->150,100->200,100->150,100->200,50->100,0->100,0->5,0->5,False.
VA,Short,415,no,no,None,100->200,100->150,100->200,100->150,100->200,50->100,0->100,5->10,0->5,False.
CO,Long,415,no,no,None,100->200,100->150,100->200,100->150,100->200,50->100,0->100,0->5,0->5,False.
MT,Middle_Length,408,no,no,None,200->300,50->100,300->400,100->150,100->200,50->100,0->100,5->10,0->5,True.
SD,Short,408,no,yes,Middle(13->23),200->300,50->100,100->200,50->100,200->300,50->100,0->100,0->5,0->5,False.
NE,Short,415,no,no,None,200->300,50->100,200->300,50->100,200->300,50->100,0->100,0->5,0->5,False.
VT,Long,415,no,no,None,100->200,100->150,100->200,50->100,0->100,100->150,0->100,0->5,0->5,False.
ND,Long,408,no,no,None,200->300,50->100,100->200,100->150,200->300,50->100,0->100,0->5,0->5,False.
GA,Middle_Length,415,no,yes,Middle(13->23),100->200,100->150,200->300,100->150,200->300,100->150,0->100,0->5,0->5,False.
OR,Long,415,no,no,None,200->300,100->150,100->200,100->150,100->200,50->100,0->100,0->5,0->5,False.
MT,Short,510,no,no,None,100->200,100->150,100->200,100->150,100->200,100->150,0->100,0->5,0->5,False.
WY,Long,415,no,no,None,200->300,100->150,100->200,50->100,200->300,100->150,0->100,0->5,0->5,False.
GA,Middle_Length,415,no,yes,Middle(13->23),200->300,100->150,100->200,100->150,200->300,50->100,0->100,0->5,0->5,False.
WV,Short,408,no,yes,Middle(13->23),200->300,100->150,200->300,100->150,200->300,50->100,0->100,0->5,0->5,False.
CT,Short,415,no,yes,Middle(13->23),100->200,100->150,200->300,100->150,100->200,50->100,0->100,5->10,0->5,False.
IL,Long,408,no,no,None,100->200,100->150,100->200,50->100,100->200,50->100,0->100,5->10,0->5,False.
CO,Short,408,no,no,None,100->200,50->100,200->300,50->100,200->300,50->100,0->100,0->5,0->5,False.
DE,Long,415,no,no,None,100->200,50->100,200->300,50->100,200->300,50->100,0->100,15->20,0->5,False.
LA,Short,415,no,no,None,200->300,100->150,100->200,100->150,200->300,100->150,0->100,0->5,0->5,False.
MA,Short,408,no,no,None,200->300,100->150,100->200,100->150,100->200,50->100,0->100,0->5,0->5,False.
IN,Middle_Length,408,no,no,None,200->300,50->100,200->300,50->100,100->200,100->150,0->100,0->5,0->5,False.
NY,Short,510,no,no,None,100->200,100->150,100->200,100->150,100->200,100->150,0->100,0->5,0->5,False.
TX,Short,415,yes,no,None,200->300,50->100,300->400,100->150,200->300,100->150,0->100,5->10,0->5,True.
KS,Long,510,no,no,None,100->200,50->100,100->200,100->150,200->300,50->100,0->100,0->5,0->5,False.
WV,Middle_Length,415,no,no,None,100->200,100->150,100->200,50->100,200->300,50->100,0->100,5->10,0->5,False.
NE,Long,415,no,yes,Middle(13->23),200->300,50->100,100->200,100->150,100->200,50->100,0->100,0->5,0->5,False.
ND,Long,408,no,no,None,100->200,50->100,200->300,100->150,200->300,100->150,0->100,0->5,0->5,False.
AK,Middle_Length,408,no,no,None,100->200,50->100,200->300,50->100,200->300,50->100,0->100,5->10,0->5,False.
CO,Short,415,no,yes,Middle(13->23),0->100,100->150,100->200,100->150,200->300,100->150,0->100,5->10,0->5,False.
ME,Long,415,no,no,None,200->300,50->100,200->300,100->150,100->200,50->100,0->100,0->5,0->5,False.
SC,Middle_Length,510,no,no,None,100->200,100->150,100->200,100->150,200->300,100->150,0->100,5->10,0->5,False.
MN,Short,510,no,yes,Middle(13->23),300->400,100->150,200->300,50->100,200->300,100->150,0->100,0->5,0->5,False.
CO,Short,415,no,no,None,200->300,100->150,100->200,100->150,100->200,100->150,0->100,0->5,0->5,False.
KS,Middle_Length,415,no,no,None,100->200,100->150,100->200,100->150,200->300,100->150,0->100,0->5,0->5,False.
MS,Long,510,no,no,None,100->200,100->150,100->200,50->100,100->200,100->150,0->100,0->5,0->5,False.
NE,Short,408,no,no,None,100->200,0->50,200->300,100->150,100->200,100->150,0->100,5->10,0->5,False.
NJ,Middle_Length,510,no,yes,Middle(13->23),100->200,100->150,100->200,100->150,200->300,100->150,0->100,0->5,0->5,False.
WI,Long,510,no,no,None,100->200,50->100,200->300,100->150,100->200,50->100,0->100,0->5,5->10,False.
MT,Middle_Length,415,no,no,None,0->100,50->100,100->200,100->150,200->300,100->150,0->100,5->10,0->5,False.
AR,Long,415,no,no,None,100->200,50->100,100->200,50->100,100->200,50->100,0->100,0->5,0->5,False.
WA,Short,408,no,no,None,100->200,100->150,200->300,50->100,200->300,50->100,0->100,0->5,0->5,False.
NH,Short,415,no,no,None,200->300,50->100,100->200,50->100,300->400,50->100,0->100,10->15,0->5,False.
IA,Middle_Length,415,no,no,None,200->300,50->100,100->200,100->150,100->200,50->100,0->100,5->10,0->5,False.
WV,Long,415,no,no,None,100->200,100->150,100->200,50->100,100->200,100->150,0->100,0->5,0->5,False.
RI,Middle_Length,415,no,no,None,100->200,50->100,100->200,50->100,100->200,100->150,0->100,0->5,0->5,False.
KS,Middle_Length,415,no,no,None,100->200,100->150,100->200,100->150,200->300,100->150,0->100,0->5,0->5,False.
MT,Long,510,no,yes,Middle(13->23),100->200,100->150,100->200,50->100,200->300,100->150,0->100,5->10,0->5,False.
MO,Long,510,no,no,None,200->300,50->100,100->200,50->100,100->200,100->150,0->100,0->5,0->5,False.
HI,Middle_Length,415,no,no,None,0->100,50->100,200->300,50->100,100->200,100->150,0->100,5->10,0->5,False.
CO,Middle_Length,415,no,no,None,200->300,50->100,100->200,100->150,100->200,50->100,0->100,5->10,0->5,False.
CT,Middle_Length,510,no,yes,Large(23->51),100->200,50->100,200->300,100->150,200->300,50->100,0->100,5->10,0->5,False.
ID,Middle_Length,415,yes,yes,Middle(13->23),0->100,100->150,100->200,50->100,200->300,100->150,0->100,5->10,0->5,False.
DC,Long,510,no,no,None,200->300,50->100,100->200,50->100,100->200,50->100,0->100,0->5,0->5,False.
TN,Short,510,no,no,None,100->200,50->100,200->300,100->150,200->300,100->150,0->100,0->5,0->5,False.
WY,Long,510,no,no,None,100->200,100->150,200->300,50->100,200->300,50->100,0->100,5->10,0->5,False.
MO,Middle_Length,415,no,no,None,100->200,100->150,0->100,100->150,200->300,50->100,0->100,0->5,0->5,False.
VA,Long,415,no,no,None,200->300,100->150,200->300,100->150,200->300,100->150,0->100,0->5,0->5,False.
SD,Long,415,no,yes,Middle(13->23),100->200,50->100,200->300,100->150,100->200,50->100,0->100,5->10,0->5,False.
WV,Long,510,yes,no,None,200->300,50->100,200->300,100->150,100->200,100->150,0->100,5->10,0->5,True.
GA,Short,408,yes,yes,Middle(13->23),200->300,100->150,100->200,100->150,200->300,50->100,0->100,0->5,0->5,False.
AZ,Short,415,no,no,None,200->300,100->150,200->300,50->100,100->200,50->100,0->100,5->10,0->5,False.
AK,Long,408,no,no,None,100->200,100->150,100->200,100->150,100->200,100->150,0->100,0->5,0->5,False.
AK,Short,510,no,no,None,100->200,50->100,100->200,50->100,200->300,100->150,0->100,5->10,0->5,False.
CT,Middle_Length,415,no,yes,Middle(13->23),100->200,50->100,100->200,100->150,200->300,50->100,0->100,0->5,0->5,False.
UT,Middle_Length,510,no,yes,Middle(13->23),0->100,50->100,100->200,100->150,100->200,50->100,0->100,5->10,5->10,True.
KY,Middle_Length,415,no,no,None,200->300,50->100,100->200,100->150,100->200,100->150,0->100,0->5,0->5,False.
MI,Short,510,no,no,None,100->200,100->150,200->300,0->50,200->300,100->150,0->100,10->15,0->5,False.
OR,Long,510,no,yes,Middle(13->23),100->200,100->150,100->200,50->100,200->300,100->150,0->100,5->10,0->5,False.
TN,Short,510,no,no,None,100->200,100->150,200->300,100->150,200->300,100->150,0->100,0->5,0->5,False.
WV,Short,408,no,no,None,100->200,100->150,100->200,50->100,200->300,50->100,0->100,5->10,0->5,False.
NJ,Short,415,no,no,None,200->300,100->150,100->200,100->150,200->300,100->150,0->100,0->5,0->5,False.
MS,Middle_Length,510,no,yes,Middle(13->23),200->300,100->150,200->300,100->150,100->200,100->150,0->100,5->10,0->5,False.
ME,Long,415,no,yes,Middle(13->23),100->200,50->100,100->200,100->150,200->300,100->150,0->100,5->10,0->5,False.
WY,Middle_Length,510,no,no,None,200->300,100->150,200->300,100->150,200->300,50->100,0->100,0->5,0->5,True.
WY,Middle_Length,415,no,no,None,200->300,100->150,200->300,100->150,200->300,100->150,0->100,0->5,0->5,False.
IN,Short,510,no,no,None,300->400,50->100,100->200,100->150,100->200,50->100,0->100,5->10,0->5,False.
NM,Middle_Length,408,no,yes,Middle(13->23),200->300,100->150,100->200,50->100,200->300,50->100,0->100,5->10,0->5,False.
NJ,Middle_Length,415,yes,yes,Middle(13->23),100->200,100->150,100->200,50->100,100->200,100->150,0->100,0->5,0->5,False.
DC,Long,415,yes,no,None,0->100,50->100,100->200,50->100,200->300,100->150,0->100,5->10,0->5,False.
UT,Short,415,no,no,None,100->200,50->100,100->200,50->100,100->200,50->100,0->100,5->10,5->10,True.
